GroupID,Count,RowNumbers,Kanji,Readings,Meaning,AllKanjiValues,InstanceRowNumber,InstanceKanji,InstanceReading,InstanceMeaning
49,2,328,今日,き,Today,今日,328,今日,きょう,Today
49,2,2376,今日,こ,Today,今日,2376,今日,こんにち,"today,this day"
50,2,329,叔母さん,おばさん,Aunt,叔母さん,329,叔母さん,おばさん,Aunt
50,2,3017,叔母さん,おばさん,Aunt,叔母さん,3017,叔母さん,おばさん,"(1) aunt,(2) middle-aged lady"
51,2,332,叔父,い,"grandfather, male senior citizen",叔父,332,叔父,おじいさん,"grandfather, male senior citizen"
51,2,491,叔父,おじ,"grandfather, male senior citizen",叔父,491,叔父,おじ,"uncle, middle aged gentleman"
52,2,336,体,か,Body,体,336,体,からだ,Body
52,2,6937,体,て,Body,体,6937,体,てい,"appearance, air, condition, state, form"
53,2,339,夜,る,"evening,night (よ)",夜,339,夜,よる,"evening,night (よ)"
53,2,1009,夜,よ,"evening,night (よ)",夜,1009,夜,よ,"evening,night (る)"
54,3,348,角,ど,a corner,角,348,角,かど,a corner
54,3,1147,角,す,a corner,角,1147,角,すみ,horn
54,3,6526,角,く,a corner,角,6526,角,かく,"1. angle, 2. bishop (shogi)"
55,3,349,十,じゅう,Ten,十,349,十,じゅう,Ten
55,3,1663,十,じゅう,Ten,十,1663,十,じゅう,"10,ten (じ)"
55,3,1844,十,と,Ten,十,1844,十,とお,"10,ten (と)"
56,3,363,九,きゅう,Nine,九,363,九,きゅう,Nine
56,3,2259,九,きゅう,Nine,九,2259,九,きゅう,nine (き)
56,3,2386,九,く,Nine,九,2386,九,く,nine (く)
57,3,364,下,た,Below,下,364,下,した,Below
57,3,1761,下,も,Below,下,1761,下,しも,"under,below,beneath (げ)"
57,3,2254,下,げ,Below,下,2254,下,げ,"under,below,beneath (し)"
58,3,372,何,なに,what,何,372,何,なに,what
58,3,2055,何,なに,what,何,2055,何,なに,what
58,3,2157,何,ん,what,何,2157,何,なん,what (ん)
59,2,377,悪い,わ,bad,悪い,377,悪い,わるい,bad
59,2,5518,悪い,に,bad,悪い,5518,悪い,にくい,"hateful, abominable, poor-looking"
60,2,381,眼鏡,め,glasses,眼鏡,381,眼鏡,めがね,glasses
60,2,6377,眼鏡,ん,glasses,眼鏡,6377,眼鏡,がんきょう,"spectacles, glasses"
61,2,402,暖かい,あたたかい,warm,暖かい,402,暖かい,あたたかい,warm
61,2,2206,暖かい,あたたかい,warm,暖かい,2206,暖かい,あたたかい,"warm,mild"
62,2,405,甘い,あ,sweet,甘い,405,甘い,あまい,sweet
62,2,6213,甘い,う,sweet,甘い,6213,甘い,うまい,delicious
63,2,432,丸い,まるい,"round,circular",丸い,432,丸い,まるい,"round,circular"
63,2,1404,丸い,まるい,"round,circular",丸い,1404,丸い,まるい,"round,circular,spherical"
64,3,456,七,なな,Seven,七,456,七,なな,Seven
64,3,1647,七,し,Seven,七,1647,七,しち,seven (し)
64,3,1692,七,なな,Seven,七,1692,七,なな,seven (な)
65,2,458,弟,う,younger brother,弟,458,弟,おとうと,younger brother
65,2,4425,弟,おと,younger brother,弟,4425,弟,おと,younger brother (う)
66,2,461,南,み,south (ん),南,461,南,みなみ,south (ん)
66,2,5184,南,ん,south (ん),南,5184,南,なん,south (み)
67,2,463,川,かわ,River,川,463,川,かわ,River
67,2,1018,川,かわ,River,川,1018,川,かわ,river
68,2,478,外,そ,Outside,外,478,外,そと,Outside
68,2,1640,外,ほ,Outside,外,1640,外,ほか,"other place,the rest"
69,2,480,背,せ,"height, stature",背,480,背,せ,"height, stature"
69,2,1947,背,い,"height, stature",背,1947,背,せい,"height,stature"
70,2,493,勉強,べんきょう,to study,勉強,493,勉強,べんきょう,to study
70,2,2498,勉強,べんきょう,to study,勉強,2498,勉強,べんきょう,"study,diligence,discount,reduction"
71,2,498,止まる,とま,to come to a halt,止まる,498,止まる,とまる,to come to a halt
71,2,6759,止まる,ど,to come to a halt,止まる,6759,止まる,とどまる,to be limited to
72,4,506,上,え,on top of,上,506,上,うえ,on top of
72,4,1410,上,わ,on top of,上,1410,上,うわ,"upper,outer,surface"
72,4,1819,上,じ,on top of,上,1819,上,じょう,"(1) first volume,(2) superior quality,(3) governmental (か)"
72,4,2215,上,か,on top of,上,2215,上,かみ,"(1) first volume,(2) superior quality,(3) governmental (じ)"
73,2,509,会場,かいじょう,assembly hall,会場,509,会場,かいじょう,assembly hall
