Kanji,Reading,Meaning,VocabScore,FillingScore,Level
人,ひと,person,0,0,5
食堂,しょくどう,dining hall,0,0,5
毎年,まいねん,every year,0,0,5
毎年,まいとし,every year,0,0,5
四つ,よっつ,four,0,0,5
池,いけ,pond,0,0,5
貸す,かす,to lend,0,0,5
半,はん,half,0,0,5
電話,でんわ,telephone,0,0,5
入口,いりぐち,entrance,0,0,5
色,いろ,colour,0,0,5
三つ,みっつ,three,0,0,5
今晩,こんばん,this evening,0,0,5
さ来年,さらいねん,year after next,0,0,5
二十歳,はたち,"20 years old,20th year",0,0,5
入る,はいる,"to enter,to contain",0,0,5
熱い,あつい,hot to the touch,0,0,5
黒い,くろい,black,0,0,5
静か,しずか,Quiet,0,0,5
泳ぐ,およぐ,to swim,0,0,5
辛い,からい,Spicy,0,0,5
練習,れんしゅう,to practice,0,0,5
牛乳,ぎゅうにゅう,Milk,0,0,5
歌う,うたう,to sing,0,0,5
一昨年,おととし,year before last,0,0,5
箱,はこ,box,0,0,5
同じ,おなじ,same,0,0,5
困る,こまる,to be worried,0,0,5
封筒,ふうとう,envelope,0,0,5
歌,うた,song,0,0,5
大好き,だいすき,to be very likeable,0,0,5
お母さん,おかあさん,(honorable) mother,0,0,5
誰,だれ,who,0,0,5
七つ,ななつ,seven,0,0,5
方,かた,"person, way of doing",0,0,5
先生,せんせい,"teacher, doctor",0,0,5
新聞,しんぶん,newspaper,0,0,5
靴,くつ,Shoes,0,0,5
玄関,げんかん,entry hall,0,0,5
お父さん,おとうさん,(honorable) father,0,0,5
午後,ごご,afternoon,0,0,5
走る,はしる,to run,0,0,5
黄色い,きいろい,yellow,0,0,5
お手洗い,おてあらい,bathroom,0,0,5
今週,こんしゅう,this week,0,0,5
物,もの,thing,0,0,5
弾く,ひく,"to play an instrument with strings, including piano",0,0,5
図書館,としょかん,library,0,0,5
外国人,がいこくじん,Foreigner,0,0,5
時々,ときどき,sometimes,0,0,5
冬,ふゆ,winter,0,0,5
洗濯,せんたく,Washing,0,0,5
早い,はやい,early,0,0,5
楽しい,たのしい,enjoyable,0,0,5
音楽,おんがく,Music,0,0,5
長い,ながい,long,0,0,5
鼻,はな,nose,0,0,5
六つ,むっつ,six,0,0,5
曲る,まがる,"to turn,to bend",0,0,5
花,はな,flower,0,0,5
犬,いぬ,dog,0,0,5
着く,つく,to arrive at,0,0,5
橋,はし,bridge,0,0,5
階段,かいだん,Stairs,0,0,5
来週,らいしゅう,next week,0,0,5
大丈夫,だいじょうぶ,all right,0,0,5
取る,とる,to take something,0,0,5
警官,けいかん,policeman,0,0,5
大学,だいがく,university,0,0,5
晩,ばん,evening,0,0,5
居る,いる,"to be, to have (used for people and animals)",0,0,5
家,いえ,house,0,0,5
遅い,おそい,"late, slow",0,0,5
猫,ねこ,cat,0,0,5
帰る,かえる,to go back,0,0,5
今,いま,now,0,0,5
待つ,まつ,to wait,0,0,5
意味,いみ,meaning,0,0,5
全部,ぜんぶ,All,0,0,5
電車,でんしゃ,electric train,0,0,5
買い物,かいもの,Shopping,0,0,5
大きい,おおきい,big,0,0,5
緑,みどり,green,0,0,5
買う,かう,to buy,0,0,5
生まれる,うまれる,to be born,0,0,5
足,あし,"foot, leg",0,0,5
零,れい,zero,0,0,5
暗い,くらい,Gloomy,0,0,5
奥さん,おくさん,(honorable) wife,0,0,5
黄色,きいろ,yellow,0,0,5
乗る,のる,"to get on,to ride",0,0,5
今月,こんげつ,this month,0,0,5
高い,たかい,"tall, expensive",0,0,5
開く,あく,"to open, to become open",0,0,5
財布,さいふ,Wallet,0,0,5
押す,おす,"to push, to stamp something",0,0,5
軽い,かるい,Light,0,0,5
医者,いしゃ,medical doctor,0,0,5
下手,へた,unskillful,0,0,5
赤い,あかい,red,0,0,5
短い,みじかい,short,0,0,5
家庭,かてい,Household,0,0,5
後ろ,うしろ,behind,0,0,5
安い,やすい,cheap,0,0,5
妹,いもうと,(humble) younger sister,0,0,5
頼む,たのむ,to ask,0,0,5
料理,りょうり,cuisine,0,0,5
食べる,たべる,to eat,0,0,5
賑やか,にぎやか,"bustling,busy",0,0,5
背広,せびろ,business suit,0,0,5
上手,じょうず,Skillful,0,0,5
国,くに,Country,0,0,5
手紙,てがみ,letter,0,0,5
茶色,ちゃいろ,brown,0,0,5
飲む,のむ,to drink,0,0,5
上げる,あげる,to give,0,0,5
傘,かさ,Umbrella,0,0,5
所,ところ,place,0,0,5
銀行,ぎんこう,Bank,0,0,5
手,て,hand,0,0,5
六,ろく,six,0,0,5
夕方,ゆうがた,evening,0,0,5
若い,わかい,young,0,0,5
明い,あかるい,bright,0,0,5
吹く,ふく,to blow,0,0,5
